row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
15,YET563_BR3_33_01,YET563,ΔSHE2,BR3,01,33,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
30,YET563_BR3_61_01,YET563,ΔSHE2,BR3,01,61,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
222,YET563_BR3_344_01,YET563,ΔSHE2,BR3,01,344,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
733,YET563_BR3_74_02,YET563,ΔSHE2,BR3,02,74,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
799,YET563_BR3_174_02,YET563,ΔSHE2,BR3,02,174,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
815,YET563_BR3_194_02,YET563,ΔSHE2,BR3,02,194,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
1314,YET563_BR3_147_03,YET563,ΔSHE2,BR3,03,147,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
1377,YET563_BR3_233_03,YET563,ΔSHE2,BR3,03,233,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
2005,YET563_BR3_251_04,YET563,ΔSHE2,BR3,04,251,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
2019,YET563_BR3_270_04,YET563,ΔSHE2,BR3,04,270,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
2571,YET563_BR3_61_05,YET563,ΔSHE2,BR3,05,61,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
2595,YET563_BR3_89_05,YET563,ΔSHE2,BR3,05,89,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
23308,YET563_BR1_105_02,YET563,ΔSHE2,BR1,02,105,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_02
23977,YET563_BR1_6_06,YET563,ΔSHE2,BR1,06,6,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_06
23998,YET563_BR1_31_06,YET563,ΔSHE2,BR1,06,31,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_06
24172,YET563_BR1_39_01,YET563,ΔSHE2,BR1,01,39,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_01
30293,YET563_BR2_12_01,YET563,ΔSHE2,BR2,01,12,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_01
30308,YET563_BR2_29_01,YET563,ΔSHE2,BR2,01,29,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_01
30354,YET563_BR2_79_01,YET563,ΔSHE2,BR2,01,79,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_01
30536,YET563_BR2_3_02,YET563,ΔSHE2,BR2,02,3,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_02
