row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
4936,YET915_BR5_22_05,YET915,WT,BR5,05,22,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
5409,YET915_BR5_70_02,YET915,WT,BR5,02,70,../../240909/YET915 BR5/output/YET915_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
24662,YET915_BR3_37_02,YET915,WT,BR3,02,37,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
25361,YET915_BR3_10_04,YET915,WT,BR3,04,10,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
25380,YET915_BR3_32_04,YET915,WT,BR3,04,32,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
25387,YET915_BR3_42_04,YET915,WT,BR3,04,42,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
25414,YET915_BR3_77_04,YET915,WT,BR3,04,77,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
25603,YET915_BR3_30_05,YET915,WT,BR3,05,30,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
25843,YET915_BR3_45_06,YET915,WT,BR3,06,45,../../220601/yET915 BR3/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_06
27947,YET915_BR4_143_04,YET915,WT,BR4,04,143,../../220601/yET915 BR4/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
27967,YET915_BR4_245_04,YET915,WT,BR4,04,245,../../220601/yET915 BR4/output/yET915-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
31984,YET915_BR1_59_06,YET915,WT,BR1,06,59,../../220429/yET915 BR1/output/yET915rp1-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_06
32001,YET915_BR1_86_06,YET915,WT,BR1,06,86,../../220429/yET915 BR1/output/yET915rp1-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_06
32588,YET915_BR2_18_18,YET915,WT,BR2,18,18,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_18
32631,YET915_BR2_69_18,YET915,WT,BR2,18,69,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_18
33069,YET915_BR2_7_19,YET915,WT,BR2,19,7,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_19
33203,YET915_BR2_172_19,YET915,WT,BR2,19,172,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_19
33609,YET915_BR2_106_20,YET915,WT,BR2,20,106,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_20
33958,YET915_BR2_89_22,YET915,WT,BR2,22,89,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_22
34499,YET915_BR2_149_23,YET915,WT,BR2,23,149,../../220429/yET915 BR2/output/yET915-BR2-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_23
