row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
696,YET563_BR3_8_02,YET563,ΔSHE2,BR3,02,8,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
697,YET563_BR3_9_02,YET563,ΔSHE2,BR3,02,9,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
705,YET563_BR3_28_02,YET563,ΔSHE2,BR3,02,28,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
848,YET563_BR3_249_02,YET563,ΔSHE2,BR3,02,249,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
1873,YET563_BR3_64_04,YET563,ΔSHE2,BR3,04,64,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
1891,YET563_BR3_88_04,YET563,ΔSHE2,BR3,04,88,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
1934,YET563_BR3_156_04,YET563,ΔSHE2,BR3,04,156,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
1938,YET563_BR3_160_04,YET563,ΔSHE2,BR3,04,160,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
2041,YET563_BR3_304_04,YET563,ΔSHE2,BR3,04,304,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
2696,YET563_BR3_220_05,YET563,ΔSHE2,BR3,05,220,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
23609,YET563_BR1_37_03,YET563,ΔSHE2,BR1,03,37,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_03
23610,YET563_BR1_38_03,YET563,ΔSHE2,BR1,03,38,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_03
23613,YET563_BR1_43_03,YET563,ΔSHE2,BR1,03,43,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_03
23858,YET563_BR1_56_05,YET563,ΔSHE2,BR1,05,56,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_05
30295,YET563_BR2_14_01,YET563,ΔSHE2,BR2,01,14,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_01
30345,YET563_BR2_69_01,YET563,ΔSHE2,BR2,01,69,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_01
30562,YET563_BR2_34_02,YET563,ΔSHE2,BR2,02,34,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_02
30712,YET563_BR2_5_03,YET563,ΔSHE2,BR2,03,5,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_03
30839,YET563_BR2_26_04,YET563,ΔSHE2,BR2,04,26,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_04
30898,YET563_BR2_103_04,YET563,ΔSHE2,BR2,04,103,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_04
