row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
3127,YET572_BR3_83_03,YET572,ΔSHE3,BR3,03,83,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
4170,YET572_BR3_15_01,YET572,ΔSHE3,BR3,01,15,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
4209,YET572_BR3_101_01,YET572,ΔSHE3,BR3,01,101,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
20151,YET572_BR4_118_02,YET572,ΔSHE3,BR4,02,118,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
20152,YET572_BR4_122_02,YET572,ΔSHE3,BR4,02,122,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
20371,YET572_BR4_93_03,YET572,ΔSHE3,BR4,03,93,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
20572,YET572_BR4_90_04,YET572,ΔSHE3,BR4,04,90,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
20581,YET572_BR4_103_04,YET572,ΔSHE3,BR4,04,103,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
20859,YET572_BR4_60_05,YET572,ΔSHE3,BR4,05,60,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
20872,YET572_BR4_83_05,YET572,ΔSHE3,BR4,05,83,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
20883,YET572_BR4_98_05,YET572,ΔSHE3,BR4,05,98,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
21066,YET572_BR4_29_06,YET572,ΔSHE3,BR4,06,29,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
21461,YET572_BR4_67_07,YET572,ΔSHE3,BR4,07,67,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_07
21468,YET572_BR4_75_07,YET572,ΔSHE3,BR4,07,75,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_07
21882,YET572_BR5_12_02,YET572,ΔSHE3,BR5,02,12,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
21903,YET572_BR5_48_02,YET572,ΔSHE3,BR5,02,48,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
21935,YET572_BR5_100_02,YET572,ΔSHE3,BR5,02,100,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
22411,YET572_BR5_66_04,YET572,ΔSHE3,BR5,04,66,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
22604,YET572_BR5_67_05,YET572,ΔSHE3,BR5,05,67,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
31160,YET572_BR2_172_04,YET572,ΔSHE3,BR2,04,172,../../220601/yET572 BR2/output/yET572-BR2-SUN4Q570-SRL1CFR610-ASH1Q670_04
