row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
3859,YET572_BR3_162_05,YET572,ΔSHE3,BR3,05,162,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
3861,YET572_BR3_164_05,YET572,ΔSHE3,BR3,05,164,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
3873,YET572_BR3_179_05,YET572,ΔSHE3,BR3,05,179,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
4490,YET572_BR3_8_02,YET572,ΔSHE3,BR3,02,8,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
4520,YET572_BR3_60_02,YET572,ΔSHE3,BR3,02,60,../../240909/YET572 BR3/output/YET572_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
20106,YET572_BR4_47_02,YET572,ΔSHE3,BR4,02,47,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
20362,YET572_BR4_78_03,YET572,ΔSHE3,BR4,03,78,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
20843,YET572_BR4_31_05,YET572,ΔSHE3,BR4,05,31,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
21156,YET572_BR4_145_06,YET572,ΔSHE3,BR4,06,145,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
21429,YET572_BR4_20_07,YET572,ΔSHE3,BR4,07,20,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_07
21476,YET572_BR4_86_07,YET572,ΔSHE3,BR4,07,86,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_07
21504,YET572_BR4_126_07,YET572,ΔSHE3,BR4,07,126,../../250820/YET572 BR4/output/YET572_BR1_ASH1CLB2Q670_SRL1cal610_SUN4Q570_07
22734,YET572_BR5_85_06,YET572,ΔSHE3,BR5,06,85,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
22753,YET572_BR5_122_06,YET572,ΔSHE3,BR5,06,122,../../250820/YET572 BR5/output/YET572_BR2_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
24303,YET572_BR1_222_02,YET572,ΔSHE3,BR1,02,222,../../220601/yET572 BR1/output/yET572-BR1-SUN4Q570-SRL1CFR610-ASH1Q670_02
24390,YET572_BR1_190_05,YET572,ΔSHE3,BR1,05,190,../../220601/yET572 BR1/output/yET572-BR1-SUN4Q570-SRL1CFR610-ASH1Q670_05
31151,YET572_BR2_157_04,YET572,ΔSHE3,BR2,04,157,../../220601/yET572 BR2/output/yET572-BR2-SUN4Q570-SRL1CFR610-ASH1Q670_04
31514,YET572_BR2_159_02,YET572,ΔSHE3,BR2,02,159,../../220601/yET572 BR2/output/yET572-BR2-SUN4Q570-SRL1CFR610-ASH1Q670_02
31520,YET572_BR2_195_02,YET572,ΔSHE3,BR2,02,195,../../220601/yET572 BR2/output/yET572-BR2-SUN4Q570-SRL1CFR610-ASH1Q670_02
31741,YET572_BR2_106_03,YET572,ΔSHE3,BR2,03,106,../../220601/yET572 BR2/output/yET572-BR2-SUN4Q570-SRL1CFR610-ASH1Q670_03
