row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
26,YET563_BR3_51_01,YET563,ΔSHE2,BR3,01,51,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
129,YET563_BR3_216_01,YET563,ΔSHE2,BR3,01,216,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
708,YET563_BR3_32_02,YET563,ΔSHE2,BR3,02,32,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
856,YET563_BR3_263_02,YET563,ΔSHE2,BR3,02,263,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
1913,YET563_BR3_124_04,YET563,ΔSHE2,BR3,04,124,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
1962,YET563_BR3_191_04,YET563,ΔSHE2,BR3,04,191,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
1964,YET563_BR3_194_04,YET563,ΔSHE2,BR3,04,194,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
1991,YET563_BR3_234_04,YET563,ΔSHE2,BR3,04,234,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
2018,YET563_BR3_269_04,YET563,ΔSHE2,BR3,04,269,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
2044,YET563_BR3_308_04,YET563,ΔSHE2,BR3,04,308,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
2581,YET563_BR3_72_05,YET563,ΔSHE2,BR3,05,72,../../240909/YET563 BR3/output/YET563_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
23626,YET563_BR1_58_03,YET563,ΔSHE2,BR1,03,58,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_03
23843,YET563_BR1_38_05,YET563,ΔSHE2,BR1,05,38,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_05
24165,YET563_BR1_31_01,YET563,ΔSHE2,BR1,01,31,../../220601/yET563 BR1/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_01
30360,YET563_BR2_86_01,YET563,ΔSHE2,BR2,01,86,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_01
30547,YET563_BR2_16_02,YET563,ΔSHE2,BR2,02,16,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_02
30551,YET563_BR2_21_02,YET563,ΔSHE2,BR2,02,21,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_02
30580,YET563_BR2_54_02,YET563,ΔSHE2,BR2,02,54,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_02
30863,YET563_BR2_56_04,YET563,ΔSHE2,BR2,04,56,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_04
30891,YET563_BR2_93_04,YET563,ΔSHE2,BR2,04,93,../../220601/yET563 BR2/output/yET563-SUN4Q570-SRL1CFR610-ASH1Q670_04
