row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
5907,YET916_BR4_33_05,YET916,ΔSSD1,BR4,05,33,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_05
6751,YET916_BR4_118_06,YET916,ΔSSD1,BR4,06,118,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
8992,YET916_BR4_103_04,YET916,ΔSSD1,BR4,04,103,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
26096,YET916_BR2_5_02,YET916,ΔSSD1,BR2,02,5,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
26107,YET916_BR2_23_02,YET916,ΔSSD1,BR2,02,23,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
26112,YET916_BR2_30_02,YET916,ΔSSD1,BR2,02,30,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
26125,YET916_BR2_55_02,YET916,ΔSSD1,BR2,02,55,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
26230,YET916_BR2_36_03,YET916,ΔSSD1,BR2,03,36,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_03
26419,YET916_BR2_13_06,YET916,ΔSSD1,BR2,06,13,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_06
26440,YET916_BR2_37_06,YET916,ΔSSD1,BR2,06,37,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_06
26523,YET916_BR2_6_07,YET916,ΔSSD1,BR2,07,6,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_07
26560,YET916_BR2_55_07,YET916,ΔSSD1,BR2,07,55,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_07
28484,YET916_BR3_24_02,YET916,ΔSSD1,BR3,02,24,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
28535,YET916_BR3_88_02,YET916,ΔSSD1,BR3,02,88,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
34825,YET916_BR1_86_28,YET916,ΔSSD1,BR1,28,86,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_28
35012,YET916_BR1_5_29,YET916,ΔSSD1,BR1,29,5,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_29
35034,YET916_BR1_33_29,YET916,ΔSSD1,BR1,29,33,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_29
35186,YET916_BR1_20_30,YET916,ΔSSD1,BR1,30,20,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_30
35562,YET916_BR1_87_33,YET916,ΔSSD1,BR1,33,87,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_33
35753,YET916_BR1_221_31,YET916,ΔSSD1,BR1,31,221,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_31
